num,v0,res_st,res_lt
001,3.48975,0.018419334115544576,0.047948764122008956
002,3.49164,0.019911837865322666,0.048956862405727185
003,3.49037,0.018887443190798457,0.047936095545261896
004,3.49393,0.018212096548084297,0.04650627462482923
005,3.49016,0.01860605286801799,0.0482075092775217
006,3.49226,0.017764157683293792,0.046133997989208364
007,3.49121,0.01788700001555593,0.04605075503202648
008,3.49121,0.017997892960619093,0.04554906822995954
009,3.49435,0.01768163218022166,0.044142175600159456
010,3.4908,0.019867268454684,0.04735826567820977
011,3.49184,0.01777615120844267,0.04430437434824129
012,3.49184,0.017474509985393585,0.04369963486780278
013,3.49121,0.02022369639604846,0.04683191966954287
014,3.49435,0.0182654480081694,0.044197269093136114
015,3.49226,0.017330001954571905,0.044253229009161836
016,3.49289,0.017963329690783146,0.04514028869706335
017,3.49268,0.01801324126368126,0.0453075099583943
018,3.49184,0.01782614669849128,0.04398951073321502
019,3.49352,0.018206947820896557,0.044490035519956846
020,3.49393,0.01767103536339362,0.04488840373266578
021,3.48933,0.019336715038771178,0.04796744884519352
022,3.49164,0.0178699464242618,0.0465939863039785
023,3.49121,0.017751922773474073,0.046630194256015806
024,3.49373,0.017522879213623548,0.044433564243361395
025,3.49414,0.01799308908728863,0.04578536311454728
026,3.49373,0.018464324008991426,0.045627035693205954
027,3.4933,0.017656478361311862,0.04524681322843725
028,3.49393,0.017479867054842294,0.04470793954398309
029,3.49164,0.017579385918643,0.04674507222294375
030,3.49268,0.01744218634706214,0.04481332213981491
031,3.48869,0.017525540851616415,0.04575918900468733
032,3.48953,0.017644517039120303,0.046429959659492995
033,3.49184,0.017150495112837737,0.04203441792369242
034,3.49414,0.018250105332845608,0.045842356447891225
035,3.49373,0.024407570370803766,0.05130228211328777
036,3.49121,0.017689408750257065,0.04664090168029232
037,3.49457,0.01772218487940662,0.04604562338166222
038,3.49393,0.01776937303487388,0.04562016761165202
039,3.49435,0.018542939835931825,0.04655944915888889
040,3.4908,0.017609026754954092,0.046296423347721674
041,3.49121,0.025473364276666056,0.0533408519744723
042,3.49393,0.017813856265345547,0.044890804247851135
043,3.49414,0.018050041624720334,0.045315595712012255
044,3.49373,0.017392122034299753,0.04447443885371088
045,3.49435,0.017907613271785944,0.045289340305321654
046,3.4933,0.021360776442330774,0.049119760510614625
047,3.49268,0.017611311883303865,0.04502907759443889
048,3.49268,0.017918654149663628,0.04646749814869736
049,3.4933,0.01773431213462522,0.04542846725702818
050,3.48744,0.01802030389504636,0.046286956490439
051,3.4933,0.018302949520316664,0.047887717578487574
052,3.49246,0.017932155391997082,0.04789632326746037
053,3.4933,0.01802650717744064,0.047624803834941956
054,3.49164,0.01814344979006684,0.04790379524307056
055,3.49205,0.018684602753747184,0.04868206947532495
056,3.49121,0.01813622577154211,0.048257515408588
057,3.49246,0.017985434786709668,0.047725681808400346
058,3.49226,0.01815035740994738,0.0476459001942963
059,3.49184,0.017905775686165637,0.04750183676978341
060,3.49205,0.0181754622867024,0.04741859924373271
061,3.4931,0.018172555969920744,0.0475419282581186
062,3.49164,0.01789409764767943,0.05143963330797291
063,3.49268,0.023374722072637317,0.05233174419231037
064,3.49226,0.028221857505829825,0.05626051525781205
065,3.49373,0.02731880598817722,0.054772649468092474
