# num,v0,st,lt,dev_st,dev_lt,dev,largest_dev,dist,mod
3,3.490370,0.018887,0.029049,0.012203,0.015195,0.015195,lt,-0.000140,9
341,3.490370,0.019970,0.029055,0.044426,0.014974,0.044426,st,-0.000134,9
82,3.493100,0.018061,0.029058,0.055432,0.000349,0.055432,st,-0.000131,9
110,3.493730,0.017831,0.029061,0.067479,0.004032,0.067479,st,-0.000128,9
517,3.493300,0.019215,0.029066,0.004934,0.001758,0.004934,st,-0.000123,9
112,3.492680,0.018116,0.029070,0.052541,0.001598,0.052541,st,-0.000119,7
140,3.492680,0.017783,0.029071,0.069988,0.001578,0.069988,st,-0.000118,7
199,3.492890,0.019807,0.029073,0.035890,0.000336,0.035890,st,-0.000116,7
273,3.492050,0.018951,0.029073,0.008895,0.005056,0.008895,st,-0.000116,7
395,3.494350,0.019427,0.029079,0.016007,0.008219,0.016007,st,-0.000110,7
588,3.493930,0.019363,0.029084,0.012647,0.005985,0.012647,st,-0.000105,7
131,3.492260,0.017716,0.029086,0.073490,0.003436,0.073490,st,-0.000103,7
225,3.492050,0.017703,0.029089,0.074173,0.004490,0.074173,st,-0.000100,7
326,3.490160,0.018809,0.029105,0.016322,0.014436,0.016322,st,-0.000084,7
103,3.492680,0.018077,0.029106,0.054599,0.000362,0.054599,st,-0.000083,7
413,3.494980,0.019096,0.029111,0.001319,0.012954,0.012954,lt,-0.000078,5
513,3.493300,0.019223,0.029112,0.005372,0.003354,0.005372,st,-0.000077,5
216,3.492050,0.017907,0.029113,0.063492,0.003679,0.063492,st,-0.000076,5
190,3.492680,0.018867,0.029118,0.013290,0.000021,0.013290,st,-0.000071,5
175,3.493520,0.018049,0.029118,0.056064,0.004810,0.056064,st,-0.000071,5
557,3.493300,0.019382,0.029119,0.013641,0.003578,0.013641,st,-0.000070,5
219,3.493300,0.017789,0.029125,0.069636,0.003797,0.069636,st,-0.000064,5
167,3.492680,0.017724,0.029126,0.073060,0.000328,0.073060,st,-0.000063,5
250,3.493930,0.018961,0.029128,0.008343,0.007491,0.008343,st,-0.000061,5
107,3.492680,0.018040,0.029128,0.056515,0.000390,0.056515,st,-0.000061,5
575,3.493520,0.019345,0.029137,0.011745,0.005472,0.011745,st,-0.000052,3
422,3.493930,0.019428,0.029138,0.016053,0.007837,0.016053,st,-0.000051,3
83,3.493100,0.018489,0.029140,0.033042,0.003186,0.033042,st,-0.000049,3
164,3.493520,0.017957,0.029143,0.060890,0.005678,0.060890,st,-0.000046,3
535,3.494140,0.019168,0.029145,0.002466,0.009278,0.009278,lt,-0.000044,3
260,3.491840,0.018943,0.029150,0.009323,0.003588,0.009323,st,-0.000039,3
208,3.492050,0.018512,0.029151,0.031861,0.002392,0.031861,st,-0.000038,3
450,3.493520,0.019309,0.029152,0.009862,0.005988,0.009862,st,-0.000037,3
310,3.491000,0.018845,0.029153,0.014434,0.008189,0.014434,st,-0.000036,3
518,3.492890,0.019606,0.029153,0.025382,0.002422,0.025382,st,-0.000036,3
442,3.492680,0.019281,0.029171,0.008369,0.001842,0.008369,st,-0.000018,1
179,3.492260,0.018101,0.029172,0.053323,0.000476,0.053323,st,-0.000017,1
437,3.493730,0.019364,0.029177,0.012734,0.008054,0.012734,st,-0.000012,1
324,3.489750,0.019076,0.029180,0.002330,0.014165,0.014165,lt,-0.000009,1
589,3.493300,0.019177,0.029183,0.002923,0.005794,0.005794,lt,-0.000006,1
458,3.494350,0.019799,0.029183,0.035484,0.011826,0.035484,st,-0.000006,1
146,3.494770,0.018052,0.029183,0.055892,0.014256,0.055892,st,-0.000006,1
161,3.492460,0.018083,0.029189,0.054261,0.001232,0.054261,st,0.000000,1
342,3.491640,0.018985,0.029193,0.007109,0.003255,0.007109,st,0.000004,1
338,3.490590,0.019189,0.029193,0.003559,0.009093,0.009093,lt,0.000004,1
427,3.493930,0.018812,0.029197,0.016167,0.009873,0.016167,st,0.000008,2
344,3.489750,0.018765,0.029202,0.018588,0.013396,0.018588,st,0.000013,2
134,3.493730,0.018101,0.029209,0.053339,0.009149,0.053339,st,0.000020,2
243,3.490590,0.019572,0.029211,0.023617,0.008466,0.023617,st,0.000022,2
592,3.493300,0.020027,0.029211,0.047404,0.006767,0.047404,st,0.000022,2
495,3.488070,0.018918,0.029215,0.010620,0.022109,0.022109,lt,0.000026,2
544,3.493520,0.019067,0.029217,0.002817,0.008229,0.008229,lt,0.000028,2
524,3.492680,0.019256,0.029219,0.007094,0.003493,0.007094,st,0.000030,2
477,3.492680,0.019687,0.029219,0.029636,0.003511,0.029636,st,0.000030,2
516,3.493100,0.019046,0.029220,0.003918,0.005935,0.005935,lt,0.000031,2
182,3.493520,0.018553,0.029223,0.029705,0.008428,0.029705,st,0.000034,4
228,3.492890,0.017819,0.029223,0.068065,0.004844,0.068065,st,0.000034,4
170,3.492460,0.017881,0.029224,0.064834,0.002417,0.064834,st,0.000035,4
397,3.494980,0.019276,0.029227,0.008130,0.016996,0.016996,lt,0.000038,4
108,3.493520,0.018184,0.029240,0.048997,0.009005,0.048997,st,0.000051,4
60,3.492050,0.018175,0.029243,0.049439,0.000773,0.049439,st,0.000054,4
568,3.492890,0.019416,0.029244,0.015420,0.005541,0.015420,st,0.000055,4
432,3.492890,0.019120,0.029257,0.000060,0.006004,0.006004,lt,0.000068,4
241,3.492460,0.018821,0.029266,0.015669,0.003865,0.015669,st,0.000077,4
205,3.491840,0.018264,0.029268,0.044825,0.000445,0.044825,st,0.000079,4
425,3.493930,0.019215,0.029274,0.004912,0.012543,0.012543,lt,0.000085,6
203,3.490590,0.018096,0.029275,0.053609,0.006291,0.053609,st,0.000086,6
581,3.495190,0.019252,0.029277,0.006841,0.019951,0.019951,lt,0.000088,6
431,3.492260,0.019353,0.029279,0.012139,0.003171,0.012139,st,0.000090,6
472,3.494570,0.019383,0.029285,0.013738,0.016626,0.016626,lt,0.000096,6
261,3.492680,0.019372,0.029294,0.013119,0.006075,0.013119,st,0.000105,6
520,3.493100,0.019191,0.029295,0.003670,0.008514,0.008514,lt,0.000106,6
570,3.493930,0.019335,0.029297,0.011216,0.013340,0.013340,lt,0.000108,6
